Short name	ligands-L	ligands-X	ligands-Z	bond number	electron count	formal charge	ligands-oxo	ligands-carbonyl	ligands-alkoxide	ligands-THF	ligands-siloxide	ligands-Cl	ligands-alkyl	ligands-imido	ligands-bpy	ligands-amide	ligands-acac	ligand-ethylene	bulk-O	bulk-Cl	bulk-Me	symmetry	formal CN	efermi_e	efermi_slope	pe area	pe center	1st_peak_e	pca1	pca2	pca3	scaled_pca1	scaled_pca2	scaled_pca3	value_5468	value_5485	value_5520	value_5579	BL1stCharge	BLvaluesCN	tsne_pca1_xanes	tsne_pca2_xanes	tsne_pca_scale1_xanes	tsne_pca_scale2_xanes	tsne_values1_features	tsne_values2_features	pls1_xanes_formal CN	pls2_xanes_formal CN	pls1_features_formal charge	pls2_features_formal charge	pls1_features_formal CN	pls2_features_formal CN
A1																								5472.94285633361	0.36468386599322145	0.47822669275017343	5467.899865213333	5485.988867342999	-28.93213648985695	4.044759536507737	2.670548181889414	-22.7824873459918	26.447066096619068	-24.19227208624555	0.11657125750348128	1.0757303244132947	0.9634157102444962	0.9968229958325583	2.636958872760802	5.52487435090881	5.115675715554574	5.231281828929502	5.689988437504286	-5.512948766894141	-2.1369737320285878	6.193821598296768	24.099829584167313	-11.673238334618535	-3.7300636757276946	-0.8805692035589922	-3.7939625814489637	-0.7660538494340149
A10																								5473.967525475483	0.27357098300100136	0.7355305756488599	5468.343383140462	5486.589086859848	-29.298287726532227	3.454222752319089	1.6551116590911752	-24.326462576132446	14.379274515952003	-11.503578703276691	0.1583661146716166	1.129898656055319	0.9621180220348861	1.006182822226434	2.813921366311221	5.2374319472767725	4.814559465494538	4.6019744461176355	5.0839594578248635	-4.802897954953539	0.41885827577925405	6.058769951762205	19.336814973843676	-3.150986630538752	-3.172847893175281	-0.9525453239947845	-2.747821672051525	0.38683116081657165
A11																								5476.403353320226	0.24975328825160625	1.2185791958858416	5469.0713624650525	5487.7898125434995	-29.281292953782536	1.6918351361923976	0.8154422154503105	-17.13779947513719	7.304649800265508	0.8213860776827295	0.2087172897351855	1.0418863288696552	0.9706583247886819	0.9919832686619836	3.6914955007332386	5.23948368232353	3.9147459303076655	1.9442969310134641	3.1591602364102993	-2.80508735005041	0.12135709817483076	-1.4122724190033054	9.146221601366708	2.8621782263614466	-1.2245614820390667	-0.05605416581623902	-1.1309396503722213	0.22897524517738901
A12																								5473.80737554494	0.42351311639299594	0.8907238054119728	5469.350267654009	5486.388671198523	-29.32936872537936	3.460348560648719	2.6511669532497084	-20.53258427081119	19.446621311168485	-26.51174431557508	0.12682222843123775	1.040312861761303	0.9855016947894721	0.982738993799976	2.8959480123191783	5.598888335396834	4.940696791981776	4.928613812739133	5.605556387128619	-5.001449481977201	-3.240624483025544	5.810358737514789	20.450596104128362	-10.242721193971636	-2.77674026861201	0.26314091548951535	-3.27891933244397	-0.7058162186655315
A13																								5472.617507252276	0.5663691342879145	0.18760924536616552	5467.269946378696	5485.6357527947775	-29.011161677600136	4.982590875886709	3.4201254826831646	-26.784299065202397	26.99222628103419	-38.93948684612274	0.05088625036188544	1.042481859972545	0.9434400140913792	0.9808926609481184	2.2819081482977515	6.059080844498825	5.421018349319893	5.6043850687957635	5.947613644976666	-5.833520143842483	-4.3551735383926555	7.345947718665876	30.056525202303703	-13.121352175301428	-4.832360897752058	-0.4704595114314687	-5.282681676453673	-1.2110605131167456
A14																								5474.426839664626	0.4960122819000836	0.3914377523341387	5468.892283027721	5486.587475016289	-29.085125052761356	4.107115994917784	2.110876414908274	-39.19007200123585	8.629356839593035	-24.210318249106614	0.06573580781918609	1.0209206637067412	0.9138010144545186	0.9664710719985763	2.9611459040697823	6.31604284028808	5.339231337529945	4.217906621824639	6.621122988879571	-3.179118749509062	-5.587339456338357	7.0825326499848895	31.822896486767043	-5.477353839364907	-3.588690219041236	1.0555959411449813	-4.444308105514727	-0.9239402281287866
A15																								5476.8774306061705	0.2116121651904681	1.6396431218750067	5469.546884208436	5487.991886728934	-29.018543986038992	0.34951490123318285	2.005283581436541	-1.6483654509988734	20.730749376725186	-0.6728249486584792	0.2187188221767326	0.8880962817097383	1.0268344913394	1.0015611783413492	4.366039942386604	4.916316432116575	0.09347219706248919	1.014056931248809	0.5522062987521993	-3.8274787586538483	7.351106260758975	-5.895456025035428	-1.1633892631392935	-8.353582306119746	0.5787917163258305	-0.03128538056678997	0.18424325654899917	-1.0726307554071692
A16																								5472.942160437623	0.6549131876812362	0.66114401936161	5469.3656144029965	5485.786652843416	-29.0342236740943	3.971966425396202	3.791102199998824	-15.441991859937112	31.90752090051146	-36.41788872796422	0.08695716042469177	0.9878167652510476	0.9896027370301049	0.9933266708901278	2.63062511703844	5.607667637527209	5.297781989696	5.548455107508194	5.90612322137716	-5.868181467950165	-2.9652656410986635	5.952777365605635	20.487968302344342	-15.820342164198745	-3.2339270224678995	0.248590833390874	-4.106405839740753	-1.499395094634924
A2																								5477.959648882997	0.11912925405888641	0.9755413119083891	5469.390302057929	5488.543632716544	-27.42587944581097	0.3600975175975103	2.6829714863867142	-10.12686808397766	37.513345317829405	1.2966909459164784	0.12802115505065317	0.7805941435920909	0.9997728766447491	0.9924411579715889	5.512874009218071	5.50606171105556	-0.09174201056468988	2.061293116609798	1.1551262121619976	-4.965313583298648	1.4596579278468933	-8.760531700280632	7.69937304935023	-24.169476343466677	1.4922241880787421	0.8160706266239264	-0.22134611127672157	-4.080542122977587
A3																								5473.108804241925	0.40357167881360634	0.7459430074436351	5468.699516388123	5486.038671328299	-28.977174275853873	3.668820747630856	3.1444793019821464	-18.355292831482352	28.44974291172298	-28.74697298897962	0.14715845229977972	1.0150100401674065	0.9808837731568606	0.984838110008404	2.8048224300063658	5.52503926177298	5.06141600324629	5.225292764113844	5.758280414016842	-5.632282384380405	-3.1507153889794948	5.695055888449068	21.18292907853928	-14.108565592878573	-3.0720802570605468	-0.2752028129717673	-3.5233486365418822	-1.1259221479349941
