Short name	ligands-L	ligands-X	ligands-Z	bond number	electron count	formal charge	ligands-oxo	ligands-carbonyl	ligands-alkoxide	ligands-THF	ligands-siloxide	ligands-Cl	ligands-alkyl	ligands-imido	ligands-bpy	ligands-amide	ligands-acac	ligand-ethylene	bulk-O	bulk-Cl	bulk-Me	symmetry	formal CN	ligands-carbonyl-bin	efermi_e	efermi_slope	pe area	pe center	1st_peak_e	1st_peak_i	pca1	pca2	pca3	scaled_pca1	scaled_pca2	scaled_pca3	value_5995	value_6003	value_6037	value_6043	BL1stCharge	BLvaluesCharge	tsne_pca1_xanes	tsne_pca2_xanes	tsne_pca_scale1_xanes	tsne_pca_scale2_xanes	tsne_values1_features	tsne_values2_features	pls1_xanes_formal CN	pls2_xanes_formal CN	pls1_features_formal charge	pls2_features_formal charge	pls1_features_formal CN	pls2_features_formal CN
CrO3.1					0.0	6.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	4.0	4.0	0.0	6003.663560235301	0.21880256144817478	2.0850943627571414	5993.35078625387	6011.902650112443	0.9589019401286647	-20.259909777978685	-2.5895789330574965	-0.2357520962537627	15.720683196073072	-5.697623186260398	-4.861611833035901	0.22691253933778974	0.4137030977135363	1.0967477880033618	1.0660198382170518	4.959078631228554	5.277225609327644	7.7218242211185215	-4.385234024765578	9.064794479833948	-0.25158204757004043	7.799151510219175	1.3798502981608791	10.1306907583478	-4.339058244263441	-3.8127663736293025	0.43342638445252973	-2.0409623538999018	2.0080467852986783
III.4t.2	1.0	2.0	0.0	5.0	3.0	3.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	4.0	0.0	6000.06940777558	0.2533376651271213	0.8629285034602051	5990.512413531689	6010.0733128932325	1.0625418734266792	-20.92818261147249	-0.16468905635041486	1.0837225240896005	2.0463804764677223	21.167708618644454	4.597630035240528	0.08657357897578338	0.7985438268264033	0.9640699693303189	0.9387328841348217	3.3257254585604805	3.057549947910915	3.1533828166628286	1.3116425754924455	2.693129830966899	0.09579457470944919	1.3109626719709495	-0.0993282220643852	-5.736586365637914	-2.88197218725342	0.6737093762909866	-0.2730164547877793	1.2899384341298357	0.12889807450878332
mpc329																								0.0	5998.550558659689	0.23990567610902747	0.4399097677746312	5990.1464819913635	6009.380109451611	1.0847017318467855	-20.83695367613401	0.9350384776020781	0.46450348214187764	-7.271651503595457	1.2768787130813186	-1.7784125829438557	0.22618793430755635	0.9012241974909312	0.9188056405078129	0.9288702059359731	2.7991444950122064	2.7042125195573012	-0.27804476437653497	1.4791760692592795	-2.4813895114048767	0.5260314179328905	-1.7768653454052519	-0.14116912584461624	-5.667801538983615	1.657815320608354	1.5929321270566015	0.5914924740703275	1.1197250867952115	-0.7520826108612142
II.4p.5	2.0	1.0	0.0	3.0	4.0	2.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	4.0	0.0	5994.348075055899	0.2134077113512758	0.2619019468670848	5988.919755371497	6007.352647067846	1.033560796384273	-21.0897473470458	1.610686373325402	-1.7576626880934572	-10.755702404714029	-11.440615246331648	6.42596370082329	0.6296862251834703	1.1148596538337898	0.9364755744792055	0.9518848731634401	1.8847973624201606	2.0515449350803197	-9.279066535253127	-0.6731480856822722	-10.225256752932193	-4.377076125339155	-8.718826269583007	4.30553591823801	0.27042659556654325	12.405324569578836	3.234995598328663	-0.521688667325809	-0.7654618098513123	-3.7682626762965277
PY-CO-Et																								0.0	6000.83790241505	0.2828507199412542	1.2364957859546533	5992.908999207604	6010.520810072106	1.0309981932264567	-20.166565367762516	-0.1304959542850772	0.7881063272328315	-7.60406593846495	0.23096800463088402	-6.725035732436012	0.14256303224237785	0.6880152134578257	0.89432957797689	0.8847792738978187	3.75869242316207	3.357573383705641	0.988190429884359	-0.5458594793628718	-2.9080020208820736	1.775157478374191	0.10314216048205241	-3.7940510029968735	-9.049021877400888	-6.8105136008687275	-0.4691735340606998	1.1025093747663395	1.3055761112610749	1.8026815406030052
IV.4t.2	0.0	3.0	0.0	3.0	2.0	4.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	4.0	0.0	6002.654825220893	0.21616774214161016	1.40089994494853	5991.439283793735	6011.441495855589	0.9697202712680171	-20.466127522451657	-2.2044586971860345	0.8781526577010208	26.701750653090116	15.583281173903437	2.116475530864167	0.06489345003175638	0.5171210171769767	1.109280885509301	1.020380713606426	4.629944835119748	4.461243245890894	6.658887822584175	-2.8178130773263583	6.047834436238143	0.6177237670553984	6.478452737705621	1.4129391457826155	6.5404969819551075	-10.47466124012706	-2.6515137175623837	-0.854342241760899	-0.8721502662511825	1.845383821498931
Na2CrO4					0.0	6.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	4.0	0.0	6005.078004509149	0.17168482209380498	2.7654530590670126	5993.175814600185	6012.694232968482	0.8972661530829299	-20.064731288417477	-3.6376294012309174	-1.1574916418716708	26.875366592169016	-11.751657821175145	-7.276464270507841	0.2363450174611536	0.3087869315675821	1.1803882184745467	1.1365519297597166	5.756464563665786	5.997437375567113	9.000769870779166	-5.085496014630244	10.189234504599543	1.0542900073598176	8.889367280355867	2.403034491525701	19.013159870740104	-3.8464031462935537	-5.726742220279901	0.26173048793992687	-3.951664376356969	2.2500547660682675
II.4p.4	2.0	1.0	0.0	3.0	4.0	2.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	4.0	0.0	5994.752004648363	0.20570513811994462	0.15131373972231105	5989.75227403	6007.683292671262	1.0532871790976452	-20.97587354194163	1.8435971055197296	-1.7409644534986195	-10.61345160731142	-17.411402517611588	6.23427768700875	0.5850328859480769	1.178693013916621	0.9170200453361141	0.9777115693044707	1.9724630810553607	1.9649557527339565	-9.268094275116056	-1.354376198444025	-10.556292296243473	-4.147495186401903	-8.5531308779007	4.984138129188308	1.2412298432800608	10.765903081184273	3.028733916442737	-0.12917535498333665	-0.7453789886545399	-3.4352728505607657
III.6o.2	3.0	2.0	0.0	5.0	6.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	6.0	6.0	0.0	5999.977935627136	0.3369633334937918	0.3189131504397264	5990.991244554708	6009.8445539023005	1.1063086072742718	-20.64949859356945	0.9249257868500738	1.2706597077693824	-14.280512646998105	0.40280321487903414	-2.868518821837244	0.0994069790485874	0.8991597577731522	0.8516441661530527	0.8790219567190716	2.9552163439804984	2.4922832235181898	0.746056130045243	2.707551113126617	-1.4720026280927108	-2.577560410535728	-1.7352638509739737	-3.7192552746687357	-11.852092065758686	-1.0291343612593145	1.721697588820161	1.0303443156314491	2.687738711439787	0.8022789627531748
III.6o.3	3.0	2.0	0.0	3.0	6.0	3.0	0.0	0.0	0.0	3.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	6.0	0.0	6000.061391868632	0.3512271838493284	0.4153226980732585	5991.162662868823	6009.84414555776	1.1173715206047592	-20.891175926909554	0.77390462452536	1.2103166903513154	-6.3881267595439795	3.85794145036754	0.09318015783657152	0.07856820631327523	0.9154890519511277	0.8915268846635964	0.9550373592420323	2.895271824908623	2.8090105826818714	0.875253304869349	2.6042460795373827	-1.0001818783594751	-0.8970667022406961	0.01099225919163294	-0.9707636809185981	-5.469795741307673	0.5334685806648378	1.454762014152466	0.584512771805082	2.3017350577050584	0.5880728781528933
